"QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","MKT_CARRIER_FL_NUM","OP_UNIQUE_CARRIER","OP_CARRIER_AIRLINE_ID","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW",
2,6,5,3,2019-06-05,"626","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","1057",-8.00,0.00,
2,6,5,3,2019-06-05,"727","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","0539",-6.00,0.00,
2,6,5,3,2019-06-05,"1027","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","1732",-10.00,0.00,
2,6,5,3,2019-06-05,"1226","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","0746",-8.00,0.00,
2,6,5,3,2019-06-05,"1326","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","1941",-15.00,0.00,
2,6,5,3,2019-06-05,"1426","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","0533",-7.00,0.00,
2,6,5,3,2019-06-05,"1427","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","2256",39.00,39.00,
2,6,5,3,2019-06-05,"1526","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","1731",93.00,93.00,
2,6,5,3,2019-06-05,"1927","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","1427",36.00,36.00,
2,6,5,3,2019-06-05,"2127","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","1104",-7.00,0.00,
2,6,6,4,2019-06-06,"126","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","1306",-9.00,0.00,
2,6,6,4,2019-06-06,"427","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","0853",-4.00,0.00,
2,6,6,4,2019-06-06,"626","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","1053",-12.00,0.00,
2,6,6,4,2019-06-06,"727","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","0534",-11.00,0.00,
2,6,6,4,2019-06-06,"1027","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","1758",16.00,16.00,
2,6,6,4,2019-06-06,"1226","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","0739",-15.00,0.00,
2,6,6,4,2019-06-06,"1326","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","1956",0.00,0.00,
2,6,6,4,2019-06-06,"1426","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","0525",-15.00,0.00,
2,6,6,4,2019-06-06,"1427","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","2337",80.00,80.00,
2,6,6,4,2019-06-06,"1526","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","1647",49.00,49.00,
2,6,6,4,2019-06-06,"1927","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","1444",53.00,53.00,
2,6,6,4,2019-06-06,"2127","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","1103",-8.00,0.00,
2,6,7,5,2019-06-07,"126","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","1332",17.00,17.00,
2,6,7,5,2019-06-07,"427","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","0902",5.00,5.00,
2,6,7,5,2019-06-07,"626","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","1100",-5.00,0.00,
2,6,7,5,2019-06-07,"727","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","0535",-10.00,0.00,
2,6,7,5,2019-06-07,"1027","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","1756",14.00,14.00,
2,6,7,5,2019-06-07,"1226","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","0744",-10.00,0.00,
2,6,7,5,2019-06-07,"1326","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","2001",5.00,5.00,
2,6,7,5,2019-06-07,"1426","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","0531",-9.00,0.00,
2,6,7,5,2019-06-07,"1427","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","2204",-13.00,0.00,
2,6,7,5,2019-06-07,"1526","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","1550",-8.00,0.00,
2,6,7,5,2019-06-07,"1927","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","1340",-11.00,0.00,
2,6,7,5,2019-06-07,"2127","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","1137",26.00,26.00,
2,6,8,6,2019-06-08,"126","B6",20409,10821,1082106,30852,"BWI",10721,1072102,30721,"BOS","1302",-13.00,0.00,
2,6,8,6,2019-06-08,"427","B6",20409,10721,1072102,30721,"BOS",10821,1082106,30852,"BWI","0849",-8.00,0.00,
2,6,18,2,2019-06-18,"1451","DL",19790,10821,1082106,30852,"BWI",13487,1348702,31650,"MSP","1207",-6.00,0.00,
2,6,18,2,2019-06-18,"1579","DL",19790,13487,1348702,31650,"MSP",10821,1082106,30852,"BWI","0938",33.00,33.00,
2,6,18,2,2019-06-18,"1625","DL",19790,10397,1039707,30397,"ATL",10821,1082106,30852,"BWI","2010",0.00,0.00,
2,6,18,2,2019-06-18,"1637","DL",19790,10821,1082106,30852,"BWI",11433,1143302,31295,"DTW","2009",-1.00,0.00,
2,6,18,2,2019-06-18,"1637","DL",19790,11433,1143302,31295,"DTW",10821,1082106,30852,"BWI","1807",27.00,27.00,
2,6,18,2,2019-06-18,"1737","DL",19790,10821,1082106,30852,"BWI",11433,1143302,31295,"DTW","1000",0.00,0.00,
2,6,18,2,2019-06-18,"1737","DL",19790,11433,1143302,31295,"DTW",10821,1082106,30852,"BWI","0719",-6.00,0.00,
2,6,18,2,2019-06-18,"1860","DL",19790,10397,1039707,30397,"ATL",10821,1082106,30852,"BWI","0937",-7.00,0.00,
2,6,18,2,2019-06-18,"1860","DL",19790,10821,1082106,30852,"BWI",10397,1039707,30397,"ATL","1223",-1.00,0.00,
2,6,18,2,2019-06-18,"1906","DL",19790,10821,1082106,30852,"BWI",11433,1143302,31295,"DTW","1822",19.00,19.00,
2,6,18,2,2019-06-18,"1906","DL",19790,11433,1143302,31295,"DTW",10821,1082106,30852,"BWI","1608",28.00,28.00,
2,6,18,2,2019-06-18,"1924","DL",19790,10397,1039707,30397,"ATL",10821,1082106,30852,"BWI","2222",56.00,56.00,
2,6,18,2,2019-06-18,"1937","DL",19790,10821,1082106,30852,"BWI",11433,1143302,31295,"DTW","0614",-1.00,0.00,
2,6,18,2,2019-06-18,"1970","DL",19790,10821,1082106,30852,"BWI",11433,1143302,31295,"DTW","1348",28.00,28.00,
2,6,18,2,2019-06-18,"1975","DL",19790,13487,1348702,31650,"MSP",10821,1082106,30852,"BWI","1804",2.00,2.00,
2,6,18,2,2019-06-18,"2015","DL",19790,14869,1486903,34614,"SLC",10821,1082106,30852,"BWI","2250",4.00,4.00,
2,6,18,2,2019-06-18,"2024","DL",19790,10397,1039707,30397,"ATL",10821,1082106,30852,"BWI","2011",94.00,94.00,
2,6,18,2,2019-06-18,"2525","DL",19790,10397,1039707,30397,"ATL",10821,1082106,30852,"BWI","0844",7.00,7.00,
2,6,18,2,2019-06-18,"2525","DL",19790,10821,1082106,30852,"BWI",10397,1039707,30397,"ATL","1120",10.00,10.00,
2,6,18,2,2019-06-18,"2572","DL",19790,10821,1082106,30852,"BWI",10397,1039707,30397,"ATL","0912",12.00,12.00,
2,6,18,2,2019-06-18,"2608","DL",19790,10397,1039707,30397,"ATL",10821,1082106,30852,"BWI","0722",-4.00,0.00,
2,6,18,2,2019-06-18,"2608","DL",19790,10821,1082106,30852,"BWI",10397,1039707,30397,"ATL","0957",-3.00,0.00,
